name,city,cards-score,cards-verdict,cards-max-time,game-score,game-verdict,game-max-time,palindromes-score,palindromes-verdict,palindromes-max-time,score
EEG,Sofia,10.0,WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.103,0,Compilation error,N/A,0,Compilation error,N/A,10.0
HNH,Pleven,10.0,WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,10.0
GIG,Varna,5.0,WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.106,4.0,WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,9.0
MRY,Pleven,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.106,8.0,WA WA WA WA WA WA WA WA WA OK WA TL WA WA WA WA WA WA WA WA WA WA OK TL WA,N/A,0,Compilation error,N/A,8.0
MPP,Varna,0,Compilation error,N/A,8.0,WA OK WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,8.0
BDD,Sofia,0,Compilation error,N/A,8.0,WA WA OK OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,8.0
EED1,Plovdiv,5.0,WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.123,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA TL TL TL WA TL WA WA WA WA WA WA WA WA,N/A,5.0
PHZ,Plovdiv,5.0,WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.079,0.0,WA WA WA WA WA WA WA WA WA WA WA TL WA WA WA WA WA WA WA WA WA WA WA TL WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,5.0
LIK,Pleven,5.0,WA WA WA WA WA WA WA WA WA OK WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0,Compilation error,N/A,5.0
BCG,Sofia,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.099,0.0,WA WA WA WA WA WA WA WA WA WA WA TL WA WA WA WA WA WA WA WA WA WA WA TL WA,N/A,5.0,WA WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,5.0
MAB,Varna,5.0,WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.099,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.056,0.0,TL TL WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,N/A,5.0
KRI,Varna,5.0,WA WA OK WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.099,0.0,WA WA WA WA WA WA WA WA WA WA WA TL WA WA WA WA WA WA WA WA WA WA WA TL WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,5.0
MMS,Ruse,0,Compilation error,N/A,4.0,WA WA WA WA WA WA WA WA WA WA WA TL WA WA WA WA WA WA WA WA WA OK WA WA WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,4.0
PRB,Varna,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
IGP,Plovdiv,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
VIV,Pazardjik,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
VBB,Varna,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA TL WA WA WA WA WA WA WA WA WA WA WA TL WA,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
TSD,VTarnovo,0.0,WA WA WA WA WA TL WA TL TL WA WA TL WA TL TL WA WA WA WA TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0.0
NVR,Varna,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0
GIU,Shumen,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
EPP,Pleven,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.116,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
DIG,Shumen,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
VMM,Shumen,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
YCH,Sofia,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
NSS,Sofia,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
AHN,Gabrovo,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0,Compilation error,N/A,0.0
MEB,Pleven,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
KJJ,Sofia,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.063,0.0
BSK,Varna,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
NVM,Varna,0,Compilation error,N/A,0.0,TL TL TL TL TL WA TL WA WA WA WA TL WA WA WA TL WA WA TL TL TL TL TL WA TL,N/A,0,Compilation error,N/A,0.0
VDV,Shumen,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.103,0.0,TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
KMB,Pleven,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0,Compilation error,N/A,0.0
AAH,Shumen,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
TSS,Shumen,0,Compilation error,N/A,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0.0
SPD,Pazardjik,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA TL TL TL TL TL,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA TL WA WA WA WA WA WA WA WA WA WA WA TL WA,N/A,0,Compilation error,N/A,0.0
MMM,Shumen,0,Compilation error,N/A,0.0,WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA WA,0.003,0,Compilation error,N/A,0.0
EKP,Sofia,0,Compilation error,N/A,0,Compilation error,N/A,0,Compilation error,N/A,0
